0	Cos'è Vendita su Amazon?	A cosa serve Vendita su Amazon?	True
0	Cos'è Vendita su Amazon?	Come posso selezionare una copertina per il mio libro senza personalizzazioni?	False
0	Cos'è Vendita su Amazon?	Cosa devo dare se sono un cliente subito impresa in attrezzature di lavoro?	False
0	Cos'è Vendita su Amazon?	Ci sono delle operazioni che devo effettuare prima di lasciare la mia moto ferma per molto tempo?	False
0	Cos'è Vendita su Amazon?	Non riesco a reperire un ricambio per la mia vecchia Yamaha. Cosa posso fare?	False
0	Cos'è Vendita su Amazon?	Come posso avere chiavi di riserva o duplicati per la mia Yamaha?	False
0	Cos'è Vendita su Amazon?	A quanto ammontano I costi?	False
0	Cos'è Vendita su Amazon?	Qual'è la differenza tra obliterazione e validazione?	False
0	Cos'è Vendita su Amazon?	Un Adobe ID è necessario per poter usufruire del servizio?	False
0	Cos'è Vendita su Amazon?	In che cosa consiste un ereader?	False
0	Cos'è Vendita su Amazon?	La mia scuola mi ha dato una lista di libri da comprare, come posso prenotarli?	False
1	A cosa serve Vendita su Amazon?	Cos'è Vendita su Amazon?	True
1	A cosa serve Vendita su Amazon?	Posso offrire confezioni regalo e biglietti di auguri ai miei clienti su Amazon.it?	False
1	A cosa serve Vendita su Amazon?	Per gli interventi in garanzia devo riportare il mio veicolo Yamaha dallo stesso concessionario presso il quale l'ho acquistato?	False
1	A cosa serve Vendita su Amazon?	Come posso preventivare il costo di Workplace conoscendo il presso utente al mese?	False
1	A cosa serve Vendita su Amazon?	Cos'è Workplace Essential?	False
1	A cosa serve Vendita su Amazon?	Dove metto il transponder / telepass?	False
1	A cosa serve Vendita su Amazon?	A che ora devo arrivare per lo spettacolo?	False
1	A cosa serve Vendita su Amazon?	Come posso trovare il numero di telaio e il codice identificativo del motore della mia Yamaha?	False
1	A cosa serve Vendita su Amazon?	Non ho utilizzato il valore totale del mio Voucher di Viaggio per la mia mia prenotazione. Posso utilizzare il saldo rimanente?	False
1	A cosa serve Vendita su Amazon?	Come faccio a registrarmi al sito?	False
1	A cosa serve Vendita su Amazon?	Che cosa faccio se l’indirizzo email associato al mio coupon è diverso da quello che uso per il conto PayPal?	False
2	A cosa serve Vendita su Amazon?	A cosa serve Vendita su Amazon?	True
2	A cosa serve Vendita su Amazon?	Come faccio a dare la conferma di una prenotazione?	False
2	A cosa serve Vendita su Amazon?	Dove si legge il numero di telaio sulla mia auto Tesla?	False
